"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
0,0,0,1,0,0,31.84
0.002,0,0,1.0041,-0.0028391,-3.002e-14,31.853
0.004,0,0,1.0149,-0.0055107,-6.61e-14,31.876
0.006,0,0,1.0328,-0.0080503,-1.0922e-13,31.892
0.008,0,0,1.0572,-0.010376,-1.5954e-13,31.897
0.01,0,0,1.0873,-0.012421,-2.1503e-13,31.894
0.012,0,0,1.1225,-0.014143,-2.7295e-13,31.882
0.014,0,0,1.1617,-0.015519,-3.2655e-13,31.862
0.016,0,0,1.2041,-0.016542,-3.7049e-13,31.833
0.018,0,0,1.2486,-0.017222,-4.0069e-13,31.796
0.02,0,0,1.2946,-0.017581,-4.1465e-13,31.752
0.022,0,0,1.341,-0.01765,-4.14e-13,31.701
0.024,0,0,1.3873,-0.017467,-4.0116e-13,31.644
0.026,0,0,1.4328,-0.017071,-3.8116e-13,31.581
0.028,0,0,1.477,-0.016502,-3.6369e-13,31.515
0.03,0,0,1.5194,-0.015799,-2.6676e-13,31.445
0.032,0,0,1.5599,-0.014998,-1.7702e-13,31.372
0.034,0,0,1.5982,-0.014131,-2.2229e-13,31.297
0.036,0,0,1.6341,-0.013224,-2.5365e-13,31.221
0.038,0,0,1.6676,-0.012302,-2.3552e-13,31.144
0.04,0,0,1.6986,-0.011383,-2.3185e-13,31.066
0.042,0,0,1.7273,-0.010482,-2.3668e-13,30.988
0.044,0,0,1.7536,-0.0096119,-2.4014e-13,30.91
0.046,0,0,1.7777,-0.0087802,-2.2804e-13,30.833
0.048,0,0,1.7996,-0.007993,-1.8569e-13,30.756
0.05,0,0,1.8196,-0.0072541,-6.7272e-14,30.68
0.052,0,0,1.8377,-0.0065652,8.8278e-14,30.605
0.054,0,0,1.854,-0.005927,1.8647e-13,30.53
0.056,0,0,1.8687,-0.0053388,2.53e-13,30.456
0.058,0,0,1.882,-0.0047992,2.9157e-13,30.383
0.06,0,0,1.8939,-0.0043061,2.6443e-13,30.311
0.062,0,0,1.9046,-0.0038573,1.7705e-13,30.239
0.064,0,0,1.9141,-0.0034499,4.3619e-14,30.168
0.066,0,0,1.9226,-0.0030811,-1.0599e-13,30.098
0.068,0,0,1.9303,-0.0027482,-2.3392e-13,30.028
0.07,0,0,1.9371,-0.0024482,-3.1291e-13,29.959
0.072,0,0,1.9431,-0.0021784,-3.3722e-13,29.891
0.074,0,0,1.9485,-0.0019362,-3.2369e-13,29.823
0.076,0,0,1.9532,-0.0017191,-2.9499e-13,29.755
0.078,0,0,1.9575,-0.0015248,-2.6607e-13,29.687
0.08,0,0,1.9612,-0.001351,-2.4222e-13,29.62
0.082,0,0,1.9646,-0.0011957,-2.2195e-13,29.554
0.084,0,0,1.9675,-0.0010572,-2.0347e-13,29.487
0.086,0,0,1.9701,-0.00093377,-1.8781e-13,29.421
0.088,0,0,1.9724,-0.00082379,-1.8058e-13,29.355
0.09,0,0,1.9744,-0.00072589,-1.9225e-13,29.289
0.092,0,0,1.9762,-0.00063883,-2.3555e-13,29.224
0.094,0,0,1.9778,-0.00056146,-3.1899e-13,29.158
0.096,0,0,1.9792,-0.00049275,-4.3545e-13,29.093
0.098,0,0,1.9804,-0.00043177,-5.6183e-13,29.028
0.1,0,0,1.9815,-0.00037771,-6.6663e-13,28.962
0.102,0,0,1.9824,-0.00032981,-7.1944e-13,28.897
0.104,0,0,1.9832,-0.00028741,-7.1635e-13,28.832
0.106,0,0,1.9839,-0.00024991,-6.8034e-13,28.768
0.108,0,0,1.9845,-0.00021678,-6.3476e-13,28.703
0.11,0,0,1.9851,-0.00018755,-5.8372e-13,28.638
0.112,0,0,1.9855,-0.00016178,-5.1201e-13,28.573
0.114,0,0,1.9859,-0.0001391,-4.0299e-13,28.509
0.116,0,0,1.9862,-0.00011917,-2.6027e-13,28.444
0.118,0,0,1.9865,-0.00010168,-1.1282e-13,28.38
0.12,0,0,1.9868,-8.6369e-05,6.2111e-15,28.315
0.122,0,0,1.987,-7.2985e-05,7.6009e-14,28.25
0.124,0,0,1.9872,-6.1315e-05,8.7055e-14,28.186
0.126,0,0,1.9873,-5.1165e-05,4.7389e-14,28.121
0.128,0,0,1.9875,-4.2363e-05,-1.7486e-14,28.057
0.13,0,0,1.9876,-3.4753e-05,-7.6373e-14,27.993
0.132,0,0,1.9876,-2.8197e-05,-9.1881e-14,27.928
0.134,0,0,1.9877,-2.2572e-05,-3.9064e-14,27.864
0.136,0,0,1.9878,-1.7766e-05,6.8423e-14,27.799
0.138,0,0,1.9878,-1.3681e-05,1.8014e-13,27.735
0.14,0,0,1.9878,-1.0229e-05,2.3923e-13,27.67
0.142,0,0,1.9879,-7.3298e-06,2.1841e-13,27.606
0.144,0,0,1.9879,-4.9144e-06,1.4051e-13,27.542
