"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
0,0,0,1,0,0,31.772
0.0028571,0,0,1.0084,-0.0054356,-4.2961e-16,31.79
0.0057143,0,0,1.0306,-0.010371,9.1975e-18,31.817
0.0085714,0,0,1.0663,-0.014727,-2.4226e-16,31.826
0.011429,0,0,1.1135,-0.018259,-2.7012e-16,31.814
0.014286,0,0,1.1693,-0.020843,-2.4992e-16,31.785
0.017143,0,0,1.231,-0.022472,-1.9268e-16,31.739
0.02,0,0,1.2959,-0.023216,-1.4281e-16,31.677
0.022857,0,0,1.3617,-0.023194,-3.6538e-16,31.601
0.025714,0,0,1.4265,-0.022556,1.2457e-15,31.514
0.028571,0,0,1.4887,-0.021455,2.1369e-15,31.419
0.031429,0,0,1.5472,-0.020036,1.7816e-15,31.316
0.034286,0,0,1.6014,-0.018423,2.2161e-15,31.21
0.037143,0,0,1.6508,-0.016721,1.7551e-15,31.1
0.04,0,0,1.6953,-0.015009,2.0915e-15,30.99
0.042857,0,0,1.7351,-0.013347,2.0327e-15,30.879
0.045714,0,0,1.7702,-0.011773,4.9123e-16,30.768
0.048571,0,0,1.8011,-0.010314,2.7127e-16,30.659
0.051429,0,0,1.8281,-0.0089826,4.4239e-16,30.551
0.054286,0,0,1.8515,-0.007784,3.7042e-16,30.444
0.057143,0,0,1.8718,-0.0067164,9.7896e-16,30.34
0.06,0,0,1.8892,-0.0057739,8.732e-16,30.236
0.062857,0,0,1.9041,-0.0049481,6.6587e-16,30.134
0.065714,0,0,1.9169,-0.004229,1.2707e-15,30.034
0.068571,0,0,1.9278,-0.0036061,1.3801e-15,29.934
0.071429,0,0,1.9371,-0.003069,1.2933e-15,29.836
0.074286,0,0,1.945,-0.0026076,4.4308e-16,29.739
0.077143,0,0,1.9517,-0.0022124,-2.9252e-16,29.642
0.08,0,0,1.9574,-0.0018749,-8.1166e-16,29.546
0.082857,0,0,1.9622,-0.0015872,-5.9519e-16,29.451
0.085714,0,0,1.9663,-0.0013425,-3.6975e-16,29.356
0.088571,0,0,1.9698,-0.0011348,-1.5503e-16,29.262
0.091429,0,0,1.9727,-0.00095853,9.6771e-16,29.169
0.094286,0,0,1.9751,-0.00080922,1.0192e-15,29.075
0.097143,0,0,1.9772,-0.00068284,8.1309e-16,28.982
