"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
0.1,0,0,1.9789,-0.00057594,7.7902e-16,28.889
0.10286,0,0,1.9804,-0.00048556,7.1191e-16,28.796
0.10571,0,0,1.9817,-0.0004092,-8.1591e-17,28.704
0.10857,0,0,1.9827,-0.00034469,-6.9654e-16,28.611
0.11143,0,0,1.9836,-0.00029022,-4.0079e-16,28.519
0.11429,0,0,1.9843,-0.00024423,5.1775e-16,28.427
0.11714,0,0,1.985,-0.00020542,6.3489e-16,28.335
0.12,0,0,1.9855,-0.00017266,-2.938e-16,28.243
0.12286,0,0,1.9859,-0.00014501,-4.675e-16,28.151
0.12571,0,0,1.9863,-0.00012169,-4.1535e-17,28.059
0.12857,0,0,1.9866,-0.00010201,9.7984e-16,27.967
0.13143,0,0,1.9869,-8.5418e-05,1.2292e-15,27.875
0.13429,0,0,1.9871,-7.1422e-05,8.3381e-17,27.783
0.13714,0,0,1.9873,-5.9622e-05,-5.9026e-16,27.691
0.14,0,0,1.9874,-4.9679e-05,-3.0548e-17,27.599
0.14286,0,0,1.9876,-4.1305e-05,1.2272e-15,27.508
0.14571,0,0,1.9877,-3.4258e-05,2.1289e-15,27.416
0.14857,0,0,1.9878,-2.8332e-05,1.7332e-15,27.324
0.15143,0,0,1.9878,-2.3355e-05,1.3877e-15,27.232
0.15429,0,0,1.9879,-1.918e-05,1.1107e-15,27.141
0.15714,0,0,1.9879,-1.5682e-05,8.7355e-16,27.049
0.16,0,0,1.988,-1.2758e-05,4.7689e-16,26.957
0.16286,0,0,1.988,-1.0317e-05,-1.8803e-16,26.865
0.16571,0,0,1.988,-8.2861e-06,-3.0919e-16,26.774
0.16857,0,0,1.9881,-6.6004e-06,2.0676e-17,26.682
0.17143,0,0,1.9881,-5.2054e-06,1.9303e-16,26.59
0.17429,0,0,1.9881,-4.056e-06,1.6755e-15,26.499
0.17714,0,0,1.9881,-3.1139e-06,2.6363e-15,26.407
0.18,0,0,1.9881,-2.3449e-06,1.7997e-15,26.315
0.18286,0,0,1.9881,-1.7204e-06,2.1466e-15,26.224
0.18571,0,0,1.9881,-1.2175e-06,1.7768e-15,26.132
0.18857,0,0,1.9881,-8.1628e-07,9.9728e-16,26.04
0.19143,0,0,1.9881,-4.9865e-07,1.9237e-16,25.948
0.19429,0,0,1.9881,-2.4952e-07,-5.1467e-16,25.857
0.19714,0,0,1.9881,-5.7398e-08,5.4748e-16,25.765
0.2,0,0,1.9881,8.7683e-08,9.1456e-16,25.673
0.20286,0,0,1.9881,1.9563e-07,8.5493e-16,25.582
0.20571,0,0,1.9881,2.7455e-07,2.5736e-15,25.49
0.20857,0,0,1.9881,3.3002e-07,2.546e-15,25.398
0.21143,0,0,1.9881,3.671e-07,9.3493e-16,25.307
0.21429,0,0,1.9881,3.916e-07,6.5343e-16,25.215
0.21714,0,0,1.9881,4.0823e-07,8.241e-16,25.123
0.22,0,0,1.9881,4.1971e-07,9.6052e-16,25.032
0.22286,0,0,1.9881,4.2871e-07,7.1452e-16,24.94
0.22571,0,0,1.9881,4.3897e-07,3.546e-16,24.848
0.22857,0,0,1.9881,4.5328e-07,5.7397e-17,24.756
0.23143,0,0,1.9881,4.7193e-07,-1.5002e-17,24.665
0.23429,0,0,1.9881,4.9398e-07,2.008e-16,24.573
0.23714,0,0,1.9881,5.1444e-07,2.2574e-15,24.481
0.24,0,0,1.9881,5.2629e-07,3.3352e-15,24.39
0.24286,0,0,1.9881,5.2651e-07,2.1477e-15,24.298
0.24571,0,0,1.9881,5.093e-07,1.5681e-15,24.206
0.24857,0,0,1.9881,4.5066e-07,1.3843e-15,24.115
0,0.0033252,0,1,0,0,31.782
0.0028571,0.0033252,0,1.0083,-0.0097303,7.5754e-17,31.8
0.0057143,0.0033252,0,1.0306,-0.018725,2.7595e-16,31.83
0.0085714,0.0033252,0,1.0666,-0.02663,9.6542e-18,31.841
0.011429,0.0033252,0,1.1141,-0.033013,-2.6422e-16,31.833
0.014286,0.0033252,0,1.1702,-0.037665,-6.0372e-16,31.805
0.017143,0.0033252,0,1.232,-0.040576,-3.5159e-16,31.759
0.02,0.0033252,0,1.297,-0.041881,-1.5585e-16,31.697
0.022857,0.0033252,0,1.3627,-0.041805,-5.2867e-17,31.62
0.025714,0.0033252,0,1.4272,-0.040618,2.0127e-15,31.532
0.028571,0.0033252,0,1.489,-0.038603,3.055e-15,31.435
0.031429,0.0033252,0,1.547,-0.03602,2.8083e-15,31.332
0.034286,0.0033252,0,1.6006,-0.033096,3.1445e-15,31.224
0.037143,0.0033252,0,1.6494,-0.030017,2.6448e-15,31.113
0.04,0.0033252,0,1.6934,-0.026927,3.1488e-15,31.001
0.042857,0.0033252,0,1.7325,-0.02393,3.0307e-15,30.888
0.045714,0.0033252,0,1.7671,-0.021097,1.6183e-15,30.777
0.048571,0.0033252,0,1.7975,-0.018473,1.5324e-15,30.666
0.051429,0.0033252,0,1.8239,-0.016081,1.7765e-15,30.557
0.054286,0.0033252,0,1.8469,-0.01393,1.3959e-15,30.45
0.057143,0.0033252,0,1.8667,-0.012015,1.4193e-15,30.344
0.06,0.0033252,0,1.8837,-0.010325,1.3307e-15,30.24
0.062857,0.0033252,0,1.8984,-0.008846,1.1898e-15,30.138
0.065714,0.0033252,0,1.9109,-0.0075585,1.3427e-15,30.037
0.068571,0.0033252,0,1.9215,-0.0064438,1.1788e-15,29.937
0.071429,0.0033252,0,1.9306,-0.0054829,1.0372e-15,29.838
0.074286,0.0033252,0,1.9383,-0.0046577,2.1811e-16,29.74
0.077143,0.0033252,0,1.9448,-0.0039512,-9.4097e-17,29.644
0.08,0.0033252,0,1.9504,-0.003348,-3.4364e-16,29.548
0.082857,0.0033252,0,1.9551,-0.0028341,-6.2544e-16,29.452
0.085714,0.0033252,0,1.959,-0.002397,-6.8784e-16,29.357
0.088571,0.0033252,0,1.9624,-0.002026,-3.8151e-16,29.263
0.091429,0.0033252,0,1.9652,-0.0017113,5.5931e-16,29.169
0.094286,0.0033252,0,1.9676,-0.0014448,6.2912e-16,29.076
0.097143,0.0033252,0,1.9696,-0.0012192,7.9729e-16,28.982
0.1,0.0033252,0,1.9713,-0.0010284,9.9158e-16,28.889
0.10286,0.0033252,0,1.9728,-0.0008671,8.765e-16,28.797
0.10571,0.0033252,0,1.974,-0.00073083,1.3643e-16,28.704
0.10857,0.0033252,0,1.975,-0.00061574,-6.8924e-16,28.611
0.11143,0.0033252,0,1.9759,-0.00051855,-5.2934e-16,28.519
0.11429,0.0033252,0,1.9766,-0.00043651,4.4846e-16,28.427
0.11714,0.0033252,0,1.9772,-0.00036725,6.6364e-16,28.335
0.12,0.0033252,0,1.9777,-0.0003088,1.9255e-16,28.243
0.12286,0.0033252,0,1.9781,-0.00025948,1.2264e-16,28.151
0.12571,0.0033252,0,1.9785,-0.00021786,5.7334e-16,28.059
0.12857,0.0033252,0,1.9788,-0.00018275,1.4743e-15,27.967
0.13143,0.0033252,0,1.9791,-0.00015312,1.5024e-15,27.875
0.13429,0.0033252,0,1.9793,-0.00012814,5.363e-16,27.783
0.13714,0.0033252,0,1.9795,-0.00010707,-7.7043e-17,27.691
0.14,0.0033252,0,1.9796,-8.9307e-05,6.3825e-16,27.599
0.14286,0.0033252,0,1.9797,-7.4344e-05,1.7584e-15,27.508
0.14571,0.0033252,0,1.9798,-6.1745e-05,2.2921e-15,27.416
0.14857,0.0033252,0,1.9799,-5.1146e-05,1.7967e-15,27.324
0.15143,0.0033252,0,1.98,-4.2237e-05,1.4611e-15,27.232
0.15429,0.0033252,0,1.9801,-3.4758e-05,1.4973e-15,27.141
0.15714,0.0033252,0,1.9801,-2.8487e-05,1.2219e-15,27.049
0.16,0.0033252,0,1.9801,-2.3238e-05,4.4931e-16,26.957
0.16286,0.0033252,0,1.9802,-1.8853e-05,1.1646e-16,26.865
0.16571,0.0033252,0,1.9802,-1.5198e-05,3.9072e-16,26.774
0.16857,0.0033252,0,1.9802,-1.2159e-05,7.7486e-16,26.682
0.17143,0.0033252,0,1.9802,-9.6395e-06,1.1816e-15,26.59
0.17429,0.0033252,0,1.9803,-7.5599e-06,2.8936e-15,26.499
0.17714,0.0033252,0,1.9803,-5.8499e-06,4.0467e-15,26.407
0.18,0.0033252,0,1.9803,-4.4494e-06,2.9846e-15,26.315
0.18286,0.0033252,0,1.9803,-3.3088e-06,2.8455e-15,26.224
0.18571,0.0033252,0,1.9803,-2.3871e-06,2.3686e-15,26.132
0.18857,0.0033252,0,1.9803,-1.6477e-06,1.7371e-15,26.04
0.19143,0.0033252,0,1.9803,-1.0584e-06,9.3847e-16,25.948
0.19429,0.0033252,0,1.9803,-5.9368e-07,3.2582e-17,25.857
0.19714,0.0033252,0,1.9803,-2.3312e-07,8.919e-16,25.765
0.2,0.0033252,0,1.9803,4.2697e-08,1.4125e-15,25.673
0.20286,0.0033252,0,1.9803,2.5129e-07,1.53e-15,25.582
0.20571,0.0033252,0,1.9803,4.0576e-07,3.1551e-15,25.49
0.20857,0.0033252,0,1.9803,5.1615e-07,3.3552e-15,25.398
0.21143,0.0033252,0,1.9803,5.9311e-07,2.0117e-15,25.307
0.21429,0.0033252,0,1.9803,6.4688e-07,1.5492e-15,25.215
0.21714,0.0033252,0,1.9803,6.8449e-07,1.3831e-15,25.123
0.22,0.0033252,0,1.9803,7.1098e-07,1.3429e-15,25.032
0.22286,0.0033252,0,1.9803,7.3279e-07,1.2206e-15,24.94
0.22571,0.0033252,0,1.9803,7.5657e-07,9.1109e-16,24.848
0.22857,0.0033252,0,1.9803,7.8604e-07,5.5653e-16,24.756
0.23143,0.0033252,0,1.9803,8.2262e-07,4.6146e-16,24.665
0.23429,0.0033252,0,1.9803,8.6594e-07,7.3374e-16,24.573
0.23714,0.0033252,0,1.9803,9.0946e-07,2.7741e-15,24.481
0.24,0.0033252,0,1.9803,9.4093e-07,3.9275e-15,24.39
0.24286,0.0033252,0,1.9803,9.4999e-07,2.9752e-15,24.298
0.24571,0.0033252,0,1.9803,9.1453e-07,2.5108e-15,24.206
0.24857,0.0033252,0,1.9803,8.1545e-07,2.444e-15,24.115
0,0.0066504,0,1,0,0,31.802
0.0028571,0.0066504,0,1.0086,-0.018335,3.6132e-16,31.82
0.0057143,0.0066504,0,1.0314,-0.035457,3.1442e-16,31.851
0.0085714,0.0066504,0,1.0683,-0.050376,3.6816e-16,31.865
0.011429,0.0066504,0,1.1167,-0.0623,2.3141e-16,31.857
0.014286,0.0066504,0,1.1735,-0.070869,-2.7755e-16,31.829
0.017143,0.0066504,0,1.2357,-0.076105,-3.2582e-16,31.782
0.02,0.0066504,0,1.3005,-0.078297,-3.0085e-16,31.718
0.022857,0.0066504,0,1.3656,-0.077903,1.8629e-16,31.639
0.025714,0.0066504,0,1.4291,-0.075457,2.6417e-15,31.549
0.028571,0.0066504,0,1.4895,-0.071502,4.1298e-15,31.45
0.031429,0.0066504,0,1.5459,-0.066533,4.1924e-15,31.344
0.034286,0.0066504,0,1.5976,-0.060975,4.3772e-15,31.234
0.037143,0.0066504,0,1.6445,-0.05517,4.0333e-15,31.121
0.04,0.0066504,0,1.6864,-0.049382,4.6902e-15,31.008
0.042857,0.0066504,0,1.7237,-0.043796,4.5208e-15,30.894
0.045714,0.0066504,0,1.7565,-0.038541,3.1666e-15,30.781
0.048571,0.0066504,0,1.7851,-0.033691,3.0754e-15,30.67
0.051429,0.0066504,0,1.81,-0.029285,3.2941e-15,30.561
0.054286,0.0066504,0,1.8315,-0.025333,2.4403e-15,30.453
0.057143,0.0066504,0,1.85,-0.021823,1.8623e-15,30.346
0.06,0.0066504,0,1.8659,-0.018734,2.1116e-15,30.242
0.062857,0.0066504,0,1.8795,-0.016034,2.2987e-15,30.139
0.065714,0.0066504,0,1.8911,-0.013688,1.7153e-15,30.038
0.068571,0.0066504,0,1.901,-0.011661,9.9806e-16,29.938
0.071429,0.0066504,0,1.9094,-0.0099151,8.1981e-16,29.839
0.074286,0.0066504,0,1.9165,-0.0084178,2.1673e-16,29.741
0.077143,0.0066504,0,1.9225,-0.0071373,4.0207e-16,29.644
0.08,0.0066504,0,1.9276,-0.006045,5.1102e-16,29.548
0.082857,0.0066504,0,1.932,-0.0051152,-6.8443e-17,29.453
0.085714,0.0066504,0,1.9356,-0.004325,-3.7424e-16,29.358
0.088571,0.0066504,0,1.9387,-0.0036546,-2.0441e-16,29.263
0.091429,0.0066504,0,1.9413,-0.0030864,2.085e-16,29.169
0.094286,0.0066504,0,1.9435,-0.0026053,4.4207e-16,29.076
0.097143,0.0066504,0,1.9454,-0.0021983,9.8143e-16,28.983
0.1,0.0066504,0,1.9469,-0.0018543,1.3725e-15,28.89
0.10286,0.0066504,0,1.9482,-0.0015635,1.2875e-15,28.797
0.10571,0.0066504,0,1.9494,-0.001318,6.4945e-16,28.704
0.10857,0.0066504,0,1.9503,-0.0011106,-9.6499e-17,28.612
0.11143,0.0066504,0,1.9511,-0.00093552,4.734e-17,28.519
0.11429,0.0066504,0,1.9517,-0.00078774,8.8092e-16,28.427
0.11714,0.0066504,0,1.9523,-0.00066302,7.8801e-16,28.335
0.12,0.0066504,0,1.9528,-0.00055776,5.2616e-16,28.243
0.12286,0.0066504,0,1.9532,-0.00046893,8.3722e-16,28.151
0.12571,0.0066504,0,1.9535,-0.00039397,1.4224e-15,28.059
0.12857,0.0066504,0,1.9538,-0.00033072,2.0851e-15,27.967
0.13143,0.0066504,0,1.954,-0.00027735,1.7331e-15,27.875
0.13429,0.0066504,0,1.9542,-0.00023233,1.0245e-15,27.783
0.13714,0.0066504,0,1.9544,-0.00019435,8.5917e-16,27.691
0.14,0.0066504,0,1.9545,-0.00016233,1.5675e-15,27.599
0.14286,0.0066504,0,1.9546,-0.00013534,2.1024e-15,27.508
0.14571,0.0066504,0,1.9547,-0.0001126,1.895e-15,27.416
0.14857,0.0066504,0,1.9548,-9.3461e-05,1.5385e-15,27.324
0.15143,0.0066504,0,1.9549,-7.7358e-05,1.7177e-15,27.232
0.15429,0.0066504,0,1.9549,-6.3826e-05,2.0923e-15,27.141
0.15714,0.0066504,0,1.955,-5.2465e-05,1.4595e-15,27.049
0.16,0.0066504,0,1.955,-4.2944e-05,4.2865e-16,26.957
0.16286,0.0066504,0,1.9551,-3.4979e-05,6.193e-16,26.865
0.16571,0.0066504,0,1.9551,-2.8327e-05,1.2262e-15,26.774
0.16857,0.0066504,0,1.9551,-2.2784e-05,1.7215e-15,26.682
0.17143,0.0066504,0,1.9551,-1.8179e-05,2.6764e-15,26.59
0.17429,0.0066504,0,1.9551,-1.4366e-05,4.5492e-15,26.499
0.17714,0.0066504,0,1.9551,-1.122e-05,5.885e-15,26.407
0.18,0.0066504,0,1.9552,-8.6332e-06,5.0376e-15,26.315
0.18286,0.0066504,0,1.9552,-6.5188e-06,4.1833e-15,26.224
0.18571,0.0066504,0,1.9552,-4.8012e-06,3.3655e-15,26.132
0.18857,0.0066504,0,1.9552,-3.4138e-06,2.7676e-15,26.04
0.19143,0.0066504,0,1.9552,-2.3009e-06,2.2422e-15,25.948
0.19429,0.0066504,0,1.9552,-1.4178e-06,1.6002e-15,25.857
0.19714,0.0066504,0,1.9552,-7.2563e-07,1.9422e-15,25.765
0.2,0.0066504,0,1.9552,-1.8833e-07,2.4082e-15,25.673
0.20286,0.0066504,0,1.9552,2.2374e-07,2.7758e-15,25.582
0.20571,0.0066504,0,1.9552,5.331e-07,3.9737e-15,25.49
0.20857,0.0066504,0,1.9552,7.6004e-07,4.3857e-15,25.398
0.21143,0.0066504,0,1.9552,9.2498e-07,3.5261e-15,25.307
0.21429,0.0066504,0,1.9552,1.0445e-06,2.844e-15,25.215
0.21714,0.0066504,0,1.9552,1.1302e-06,2.2779e-15,25.123
0.22,0.0066504,0,1.9552,1.1936e-06,1.9304e-15,25.032
0.22286,0.0066504,0,1.9552,1.2477e-06,1.8204e-15,24.94
0.22571,0.0066504,0,1.9552,1.303e-06,1.6233e-15,24.848
0.22857,0.0066504,0,1.9552,1.3661e-06,1.5959e-15,24.756
0.23143,0.0066504,0,1.9552,1.4419e-06,1.6184e-15,24.665
0.23429,0.0066504,0,1.9552,1.5325e-06,1.8589e-15,24.573
0.23714,0.0066504,0,1.9552,1.6312e-06,3.5788e-15,24.481
0.24,0.0066504,0,1.9552,1.7185e-06,4.6079e-15,24.39
0.24286,0.0066504,0,1.9552,1.7576e-06,3.9531e-15,24.298
0.24571,0.0066504,0,1.9552,1.7027e-06,3.6234e-15,24.206
0.24857,0.0066504,0,1.9552,1.5157e-06,3.6879e-15,24.115
0,0.0099756,0,1,0,0,31.827
0.0028571,0.0099756,0,1.0092,-0.027623,2.3955e-16,31.846
0.0057143,0.0099756,0,1.0333,-0.053306,1.1319e-16,31.877
0.0085714,0.0099756,0,1.0718,-0.075382,1.9399e-16,31.89
0.011429,0.0099756,0,1.1217,-0.0927,6.9409e-16,31.879
0.014286,0.0099756,0,1.1796,-0.10482,8.0099e-16,31.846
0.017143,0.0099756,0,1.2421,-0.11187,4.534e-16,31.795
0.02,0.0099756,0,1.3064,-0.11438,2.1185e-16,31.726
0.022857,0.0099756,0,1.3701,-0.11312,5.9307e-16,31.644
0.025714,0.0099756,0,1.4315,-0.10894,2.6369e-15,31.55
0.028571,0.0099756,0,1.4893,-0.10267,4.2619e-15,31.448
0.031429,0.0099756,0,1.5425,-0.095045,4.4553e-15,31.34
0.034286,0.0099756,0,1.591,-0.086694,4.3971e-15,31.228
0.037143,0.0099756,0,1.6344,-0.0781,4.1646e-15,31.115
0.04,0.0099756,0,1.673,-0.069625,4.7219e-15,31.001
0.042857,0.0099756,0,1.7069,-0.061525,4.7458e-15,30.887
0.045714,0.0099756,0,1.7366,-0.053962,3.7571e-15,30.775
0.048571,0.0099756,0,1.7624,-0.04703,3.4538e-15,30.664
0.051429,0.0099756,0,1.7846,-0.040768,3.0902e-15,30.555
0.054286,0.0099756,0,1.8037,-0.035179,2.2634e-15,30.447
0.057143,0.0099756,0,1.8201,-0.030239,1.9809e-15,30.342
0.06,0.0099756,0,1.8341,-0.025907,2.1482e-15,30.238
0.062857,0.0099756,0,1.846,-0.022135,2.4991e-15,30.136
0.065714,0.0099756,0,1.8562,-0.018867,1.988e-15,30.035
0.068571,0.0099756,0,1.8648,-0.016049,1.1171e-15,29.935
0.071429,0.0099756,0,1.8721,-0.01363,7.8773e-16,29.837
0.074286,0.0099756,0,1.8783,-0.011559,5.0434e-16,29.739
0.077143,0.0099756,0,1.8835,-0.0097916,1.0255e-15,29.643
0.08,0.0099756,0,1.8879,-0.0082861,1.3248e-15,29.547
0.082857,0.0099756,0,1.8916,-0.0070065,1.0578e-15,29.451
0.085714,0.0099756,0,1.8948,-0.0059206,9.2842e-16,29.357
0.088571,0.0099756,0,1.8974,-0.0050002,7.3855e-16,29.263
0.091429,0.0099756,0,1.8997,-0.004221,5.1188e-16,29.169
0.094286,0.0099756,0,1.9016,-0.0035618,7.2791e-16,29.075
0.097143,0.0099756,0,1.9031,-0.0030046,1.064e-15,28.982
0.1,0.0099756,0,1.9045,-0.0025339,1.3057e-15,28.889
0.10286,0.0099756,0,1.9056,-0.0021363,1.4344e-15,28.796
0.10571,0.0099756,0,1.9066,-0.0018007,1.2701e-15,28.704
0.10857,0.0099756,0,1.9074,-0.0015174,1.2933e-15,28.611
0.11143,0.0099756,0,1.9081,-0.0012784,1.5163e-15,28.519
0.11429,0.0099756,0,1.9086,-0.0010766,1.615e-15,28.427
0.11714,0.0099756,0,1.9091,-0.00090639,1.0399e-15,28.335
0.12,0.0099756,0,1.9095,-0.00076275,6.0113e-16,28.243
0.12286,0.0099756,0,1.9098,-0.00064154,1.0344e-15,28.151
0.12571,0.0099756,0,1.9101,-0.00053926,1.6116e-15,28.059
0.12857,0.0099756,0,1.9104,-0.00045295,2.0571e-15,27.967
0.13143,0.0099756,0,1.9106,-0.00038011,1.8237e-15,27.875
0.13429,0.0099756,0,1.9107,-0.00031866,1.3182e-15,27.783
0.13714,0.0099756,0,1.9109,-0.00026683,1.5084e-15,27.691
0.14,0.0099756,0,1.911,-0.00022311,2.0648e-15,27.599
0.14286,0.0099756,0,1.9111,-0.00018624,2.1077e-15,27.508
0.14571,0.0099756,0,1.9112,-0.00015518,1.5993e-15,27.416
0.14857,0.0099756,0,1.9113,-0.000129,1.5053e-15,27.324
0.15143,0.0099756,0,1.9113,-0.00010697,2.2066e-15,27.232
0.15429,0.0099756,0,1.9114,-8.8446e-05,2.5838e-15,27.141
0.15714,0.0099756,0,1.9114,-7.2878e-05,1.9067e-15,27.049
0.16,0.0099756,0,1.9114,-5.9817e-05,1.2636e-15,26.957
0.16286,0.0099756,0,1.9115,-4.8875e-05,1.2797e-15,26.865
0.16571,0.0099756,0,1.9115,-3.9723e-05,1.7243e-15,26.774
0.16857,0.0099756,0,1.9115,-3.2085e-05,2.2489e-15,26.682
0.17143,0.0099756,0,1.9115,-2.5727e-05,2.9372e-15,26.59
0.17429,0.0099756,0,1.9115,-2.045e-05,4.5635e-15,26.499
0.17714,0.0099756,0,1.9115,-1.6082e-05,5.964e-15,26.407
0.18,0.0099756,0,1.9115,-1.2482e-05,5.5664e-15,26.315
0.18286,0.0099756,0,1.9116,-9.5291e-06,4.6965e-15,26.224
0.18571,0.0099756,0,1.9116,-7.1195e-06,3.8217e-15,26.132
0.18857,0.0099756,0,1.9116,-5.1638e-06,3.3347e-15,26.04
0.19143,0.0099756,0,1.9116,-3.5881e-06,3.3119e-15,25.948
0.19429,0.0099756,0,1.9116,-2.3307e-06,3.1916e-15,25.857
0.19714,0.0099756,0,1.9116,-1.3364e-06,3.3001e-15,25.765
0.2,0.0099756,0,1.9116,-5.5728e-07,3.4769e-15,25.673
0.20286,0.0099756,0,1.9116,4.5184e-08,3.673e-15,25.582
0.20571,0.0099756,0,1.9116,5.0301e-07,4.3556e-15,25.49
0.20857,0.0099756,0,1.9116,8.4609e-07,4.6614e-15,25.398
0.21143,0.0099756,0,1.9116,1.1011e-06,4.1587e-15,25.307
0.21429,0.0099756,0,1.9116,1.2889e-06,3.5775e-15,25.215
0.21714,0.0099756,0,1.9116,1.4268e-06,3.0281e-15,25.123
0.22,0.0099756,0,1.9116,1.5327e-06,2.7011e-15,25.032
0.22286,0.0099756,0,1.9116,1.6236e-06,2.4504e-15,24.94
0.22571,0.0099756,0,1.9116,1.7125e-06,2.34e-15,24.848
0.22857,0.0099756,0,1.9116,1.8099e-06,2.6508e-15,24.756
0.23143,0.0099756,0,1.9116,1.9244e-06,2.7253e-15,24.665
0.23429,0.0099756,0,1.9116,2.0616e-06,2.8214e-15,24.573
0.23714,0.0099756,0,1.9116,2.2171e-06,4.122e-15,24.481
0.24,0.0099756,0,1.9116,2.3747e-06,4.9669e-15,24.39
0.24286,0.0099756,0,1.9116,2.4778e-06,4.4997e-15,24.298
0.24571,0.0099756,0,1.9116,2.4331e-06,4.1629e-15,24.206
0.24857,0.0099756,0,1.9116,2.158e-06,4.2451e-15,24.115
0,0.013301,0,1,0,0,31.866
0.0028571,0.013301,0,1.0101,-0.038205,9.684e-17,31.886
0.0057143,0.013301,0,1.0361,-0.073227,4.6263e-17,31.919
0.0085714,0.013301,0,1.0769,-0.10273,-5.5431e-17,31.93
0.011429,0.013301,0,1.1289,-0.12523,4.9427e-16,31.915
0.014286,0.013301,0,1.188,-0.14031,1.0349e-15,31.877
0.017143,0.013301,0,1.2506,-0.14838,1.0268e-15,31.819
0.02,0.013301,0,1.3137,-0.15035,1.0576e-15,31.745
0.022857,0.013301,0,1.3751,-0.14741,1.3778e-15,31.656
0.025714,0.013301,0,1.4332,-0.14079,2.7639e-15,31.557
0.028571,0.013301,0,1.4868,-0.13166,3.9874e-15,31.451
0.031429,0.013301,0,1.5355,-0.12101,4.1093e-15,31.34
0.034286,0.013301,0,1.5791,-0.10964,3.7796e-15,31.226
0.037143,0.013301,0,1.6177,-0.098169,3.3991e-15,31.111
0.04,0.013301,0,1.6514,-0.087029,4.0512e-15,30.996
0.042857,0.013301,0,1.6808,-0.076514,4.2652e-15,30.882
0.045714,0.013301,0,1.7062,-0.0668,3.4708e-15,30.769
0.048571,0.013301,0,1.7281,-0.057976,2.9416e-15,30.658
0.051429,0.013301,0,1.7467,-0.050069,2.1912e-15,30.549
0.054286,0.013301,0,1.7627,-0.04306,1.8486e-15,30.442
0.057143,0.013301,0,1.7763,-0.036902,2.0742e-15,30.337
0.06,0.013301,0,1.7878,-0.031531,1.9813e-15,30.234
0.062857,0.013301,0,1.7975,-0.026875,2.0316e-15,30.132
0.065714,0.013301,0,1.8058,-0.022858,1.9135e-15,30.032
0.068571,0.013301,0,1.8127,-0.019408,1.3648e-15,29.932
0.071429,0.013301,0,1.8186,-0.016455,9.2259e-16,29.834
0.074286,0.013301,0,1.8236,-0.013934,7.5309e-16,29.737
0.077143,0.013301,0,1.8277,-0.011788,1.2352e-15,29.641
0.08,0.013301,0,1.8313,-0.0099644,1.628e-15,29.545
0.082857,0.013301,0,1.8342,-0.0084173,1.4638e-15,29.45
0.085714,0.013301,0,1.8367,-0.0071066,1.5398e-15,29.356
0.088571,0.013301,0,1.8388,-0.0059975,1.5145e-15,29.262
0.091429,0.013301,0,1.8406,-0.0050597,1.0757e-15,29.168
0.094286,0.013301,0,1.8421,-0.0042673,1.0784e-15,29.075
0.097143,0.013301,0,1.8434,-0.0035982,1.3456e-15,28.982
0.1,0.013301,0,1.8444,-0.0030335,1.3558e-15,28.889
