"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
0,0,0,1,0,0,31.372
0.01,0,0,1.1093,-0.046665,-1.3379e-15,31.312
0.02,0,0,1.2973,-0.058154,-3.0186e-15,31.121
0.03,0,0,1.4798,-0.05128,-4.328e-16,30.815
0.04,0,0,1.6256,-0.039039,1.7098e-15,30.453
0.05,0,0,1.7294,-0.027358,1.6747e-15,30.085
0.06,0,0,1.7988,-0.018192,2.0664e-15,29.727
0.07,0,0,1.8435,-0.011679,6.4442e-15,29.382
0.08,0,0,1.8716,-0.0073158,6.3223e-15,29.047
0.09,0,0,1.8889,-0.0045015,2.9404e-15,28.72
0.1,0,0,1.8994,-0.0027337,2.4785e-15,28.397
0.11,0,0,1.9057,-0.0016443,-3.3571e-16,28.077
0.12,0,0,1.9095,-0.0009822,-1.1824e-15,27.759
0.13,0,0,1.9117,-0.00058394,3.6871e-16,27.442
0.14,0,0,1.913,-0.00034608,3.2382e-16,27.126
0.15,0,0,1.9138,-0.00020473,5.4587e-16,26.81
0.16,0,0,1.9143,-0.000121,1.0466e-15,26.495
0.17,0,0,1.9146,-7.1496e-05,-7.4828e-16,26.179
0.18,0,0,1.9147,-4.2261e-05,-3.8691e-16,25.863
0.19,0,0,1.9148,-2.4998e-05,1.15e-15,25.548
0.2,0,0,1.9149,-1.48e-05,2.5248e-15,25.233
0.21,0,0,1.9149,-8.7712e-06,2.806e-15,24.917
0.22,0,0,1.9149,-5.2043e-06,1.6617e-15,24.602
0.23,0,0,1.9149,-3.0895e-06,-1.0516e-15,24.286
0.24,0,0,1.9149,-1.8383e-06,-3.1207e-15,23.971
0.25,0,0,1.9149,-1.095e-06,-3.394e-15,23.656
0,0.0099756,0,1,0,0,31.433
0.01,0.0099756,0,1.1121,-0.084348,-1.2968e-15,31.362
0.02,0.0099756,0,1.2964,-0.10323,-2.7526e-15,31.153
0.03,0.0099756,0,1.467,-0.0894,-8.7613e-16,30.833
0.04,0.0099756,0,1.5988,-0.067175,1.1361e-15,30.462
0.05,0.0099756,0,1.6899,-0.046634,1.3517e-15,30.089
0.06,0.0099756,0,1.7495,-0.030763,2.0611e-15,29.729
0.07,0.0099756,0,1.7872,-0.019604,6.6043e-15,29.383
0.08,0.0099756,0,1.8104,-0.012197,7.2717e-15,29.048
0.09,0.0099756,0,1.8245,-0.0074591,4.1815e-15,28.72
0.1,0.0099756,0,1.8329,-0.0045053,3.5866e-15,28.397
0.11,0.0099756,0,1.8379,-0.0026971,1.3434e-15,28.077
0.12,0.0099756,0,1.8409,-0.0016046,6.1503e-16,27.759
