"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
0,0,0,1,0,0,31.956
0.0014286,0,0,1.002,-0.001335,1.7601e-16,31.966
0.0028571,0,0,1.0075,-0.0026135,-6.5073e-17,31.985
0.0042857,0,0,1.0167,-0.0038702,1.7122e-16,32
0.0057143,0,0,1.0293,-0.0050802,7.5113e-16,32.01
0.0071429,0,0,1.0453,-0.006222,7.53e-16,32.015
0.0085714,0,0,1.0644,-0.0072799,3.3782e-16,32.017
0.01,0,0,1.0864,-0.0082403,1.4547e-16,32.014
0.011429,0,0,1.1109,-0.0090927,1.8444e-16,32.006
0.012857,0,0,1.1377,-0.0098302,-1.1264e-16,31.995
0.014286,0,0,1.1664,-0.010449,1.4095e-16,31.979
0.015714,0,0,1.1966,-0.010948,3.5443e-16,31.958
0.017143,0,0,1.2281,-0.011329,1.0244e-15,31.934
0.018571,0,0,1.2605,-0.011597,1.4696e-15,31.906
0.02,0,0,1.2936,-0.011757,1.8228e-15,31.874
0.021429,0,0,1.3269,-0.011817,2.0286e-15,31.838
0.022857,0,0,1.3602,-0.011786,9.927e-16,31.8
0.024286,0,0,1.3933,-0.011673,7.0093e-16,31.758
0.025714,0,0,1.426,-0.011487,8.6846e-16,31.714
0.027143,0,0,1.4581,-0.011239,1.8647e-15,31.667
0.028571,0,0,1.4894,-0.010938,2.0324e-15,31.619
0.03,0,0,1.5198,-0.010594,9.507e-16,31.568
0.031429,0,0,1.5491,-0.010215,9.6984e-16,31.517
0.032857,0,0,1.5774,-0.0098094,1.058e-15,31.464
0.034286,0,0,1.6044,-0.0093844,4.5549e-16,31.41
0.035714,0,0,1.6303,-0.0089467,3.9598e-16,31.355
0.037143,0,0,1.6549,-0.0085022,7.4468e-16,31.3
0.038571,0,0,1.6782,-0.0080559,1.0401e-15,31.245
0.04,0,0,1.7003,-0.0076121,8.4383e-16,31.189
0.041429,0,0,1.7211,-0.0071747,7.6968e-16,31.133
0.042857,0,0,1.7407,-0.0067465,1.0312e-15,31.078
0.044286,0,0,1.7592,-0.0063301,1.1138e-15,31.022
0.045714,0,0,1.7764,-0.0059274,1.3762e-15,30.967
0.047143,0,0,1.7926,-0.0055399,1.1102e-15,30.912
0.048571,0,0,1.8076,-0.0051686,1.2308e-15,30.857
0.05,0,0,1.8217,-0.0048143,1.7239e-15,30.803
0.051429,0,0,1.8348,-0.0044774,1.4703e-15,30.749
0.052857,0,0,1.8469,-0.0041581,7.9206e-16,30.695
0.054286,0,0,1.8582,-0.0038562,7.9173e-16,30.642
0.055714,0,0,1.8687,-0.0035716,1.3013e-15,30.589
0.057143,0,0,1.8784,-0.003304,9.0267e-16,30.536
0.058571,0,0,1.8873,-0.0030528,7.789e-16,30.485
0.06,0,0,1.8956,-0.0028176,6.4206e-16,30.433
0.061429,0,0,1.9032,-0.0025976,-1.2982e-16,30.382
0.062857,0,0,1.9102,-0.0023923,2.4868e-16,30.331
0.064286,0,0,1.9167,-0.002201,8.5439e-16,30.28
0.065714,0,0,1.9226,-0.0020229,3.9383e-16,30.23
0.067143,0,0,1.9281,-0.0018573,7.022e-17,30.18
0.068571,0,0,1.9331,-0.0017036,-2.857e-18,30.13
0.07,0,0,1.9377,-0.001561,-1.0644e-16,30.081
0.071429,0,0,1.9419,-0.0014289,2.7357e-16,30.032
0.072857,0,0,1.9458,-0.0013067,2.6936e-16,29.983
0.074286,0,0,1.9493,-0.0011937,-1.9267e-16,29.934
0.075714,0,0,1.9525,-0.0010892,-5.5281e-16,29.886
0.077143,0,0,1.9554,-0.00099287,-1.9817e-16,29.838
0.078571,0,0,1.9581,-0.00090398,-3.6891e-17,29.789
0.08,0,0,1.9605,-0.00082207,-5.5004e-16,29.742
0.081429,0,0,1.9628,-0.00074666,-2.001e-16,29.694
0.082857,0,0,1.9648,-0.00067729,1.357e-16,29.646
0.084286,0,0,1.9666,-0.00061352,-8.7569e-17,29.599
0.085714,0,0,1.9682,-0.00055496,1.1292e-16,29.551
0.087143,0,0,1.9697,-0.00050124,1.8619e-17,29.504
